,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
191,Pulau Pinang,P.044 Permatang Pauh,2,Muhammad Fawwaz Bin Mohamad Jan,UST FAWWAZ MD JAN,39,male,bumiputera,PERIKATAN NASIONAL (PN),37638,1,won,1,PN,87448,43.04043546,78.4329123,4.7,6.1,Won
196,Pulau Pinang,P.045 Bukit Mertajam,3,Koh Tien Yew,STEVEN KOH,41,male,chinese,PERIKATAN NASIONAL (PN),14037,0,lost,0,PN,92745,15.13504771,27.8717288,2.4,1.3,Lost
200,Pulau Pinang,P.046 Batu Kawan,4,Wong Chia Zhen,WONG CHIA ZHEN,37,male,chinese,PERIKATAN NASIONAL (PN),10344,0,lost,0,PN,68831,15.02811233,34.18714963,3.7,0.6,Lost
203,Pulau Pinang,P.047 Nibong Tebal,2,Mansor Bin Othman,DATO' MANSOR BIN OTHMAN,72,male,bumiputera,PERIKATAN NASIONAL (PN),25895,0,lost,0,PN,79308,32.65118273,50.43353202,3.3,2.5,Lost
208,Pulau Pinang,P.048 Bukit Bendera,3,Hng Chee Wey,HNG CHEE WEY,45,male,chinese,PERIKATAN NASIONAL (PN),6743,0,lost_deposit,0,PN,62489,10.79069916,17.88085502,3.7,0,Lost
213,Pulau Pinang,P.049 Tanjong,3,H'Ng Khoon Leng,AH LENG,58,male,chinese,PERIKATAN NASIONAL (PN),2501,0,lost_deposit,0,PN,37683,6.636945042,16.92688874,4,1.5,Lost
215,Pulau Pinang,P.050 Jelutong,2,Baljit Singh A/L Jigiri Singh,BALJIT SINGH,56,male,other,PERIKATAN NASIONAL (PN),11765,0,lost,0,PN,70707,16.63908807,26.72895828,4.5,1.3,Lost
220,Pulau Pinang,P.051 Bukit Gelugor,1,Thinagaranabhan A/L Padmanabhan,P. THINAGARANABHAN,41,male,indian,PERIKATAN NASIONAL (PN),8092,0,lost_deposit,0,PN,86073,9.401322134,22.4760379,3.8,0.2,Lost
228,Pulau Pinang,P.052 Bayan Baru,6,Oh Tong Keong,OH TONG KEONG,54,male,chinese,PERIKATAN NASIONAL (PN),20307,0,lost,0,PN,89708,22.6367771,42.35154918,2.9,0.8,Lost
232,Pulau Pinang,P.053 Balik Pulau,4,Muhammad Harris Idaham Bin Abdul Rashid,HARRIS IDAHAM RASHID,30,male,bumiputera,PERIKATAN NASIONAL (PN),22982,0,lost,0,PN,63911,35.95938101,63.69558482,2.8,0.7,Lost
236,Perak,P.054 Gerik,2,Fathul Huzir Bin Ayob,FATHUL HUZIR AYOB,39,male,bumiputera,PERIKATAN NASIONAL (PN),15105,1,won,1,PN,34612,43.64093378,86.76749265,4.2,8.9,Won
240,Perak,P.055 Lenggong,3,Muhammad Rif'Aat Bin Razman,USTAZ RIF'AAT RAZMAN,35,male,bumiputera,PERIKATAN NASIONAL (PN),11709,0,lost,0,PN,27679,42.30282886,91.88599519,3.8,17.5,Lost
244,Perak,P.056 Larut,4,Hamzah Bin Zainudin,DATO SERI HAMZAH ZAINUDIN,65,male,bumiputera,PERIKATAN NASIONAL (PN),28350,1,won,0,PN,51875,54.65060241,92.7792491,5.8,7.4,Won
248,Perak,P.057 Parit Buntar,4,Mohd Misbahul Munir Bin Masduki,USTAZ MISBAH,59,male,bumiputera,PERIKATAN NASIONAL (PN),23223,1,won,1,PN,52903,43.89732151,71.97419648,5.6,8,Won
249,Perak,P.058 Bagan Serai,1,Idris Bin Ahmad,DATUK USTAZ IDRIS,59,male,bumiputera,PERIKATAN NASIONAL (PN),33753,1,won,0,PN,62533,53.97630051,81.70808657,4.5,4.3,Won
253,Perak,P.059 Bukit Gantang,1,Syed Abu Hussin Bin Hafiz Syed Abdul Fasal,DATO' SYED ABU HUSSIN,62,male,bumiputera,PERIKATAN NASIONAL (PN),32625,1,won,0,PN,71567,45.58665307,76.13297774,6,12.9,Won
