,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
678,Johor,P.151 Simpang Renggam,4,Hasni Bin Mohammad,HASNI BIN MOHAMMAD,63.0,male,bumiputera,BARISAN NASIONAL (BN),18312,1,won,1,BN,44131,41.494640955337516,67.51952681,4.8,9.9,Won
679,Johor,P.152 Kluang,1,Gan Ping Shou @ Gan Ping Sieu,GAN PING SIEU,56.0,male,chinese,BARISAN NASIONAL (BN),23395,0,lost,0,BN,95621,24.466382907520316,52.87849629,4.4,3.6,Lost
680,Johor,P.152 Kluang,2,Wong Shu Qi,WONG SHU QI,39.0,female,bumiputera,PAKATAN HARAPAN (PH),49801,1,won,0,PH,95621,52.0816557032451,52.87849629,4.4,3.6,Won
681,Johor,P.152 Kluang,3,Ramendran A/L Ulaganathan,IR. U. RAMENDRAN,52.0,male,indian,BEBAS (BEBAS),404,0,lost_deposit,0,Others,95621,0.42250133338910906,52.87849629,4.4,3.6,Lost
682,Johor,P.152 Kluang,4,Dzulkarnain Bin Alias,DZULKARNAIN BIN ALIAS,52.0,male,bumiputera,PERIKATAN NASIONAL (PN),22021,0,lost,0,PN,95621,23.029460055845476,52.87849629,4.4,3.6,Lost
683,Johor,P.153 Sembrong,1,Hishammuddin Bin Datuk Hussein,HISHAMMUDDIN HUSSEIN,61.0,male,bumiputera,BARISAN NASIONAL (BN),22572,1,won,0,BN,40930,55.14781333984852,68.30857059,5.0,5.4,Won
684,Johor,P.153 Sembrong,2,Hasni Bin Abas,HASNI ABAS,60.0,male,bumiputera,PAKATAN HARAPAN (PH),11692,0,lost,0,PH,40930,28.565844124114342,68.30857059,5.0,5.4,Lost
685,Johor,P.153 Sembrong,3,Aziz Bin Ismail,JOE AZIZ,38.0,male,bumiputera,PERIKATAN NASIONAL (PN),6666,0,lost,0,PN,40930,16.28634253603714,68.30857059,5.0,5.4,Lost
686,Johor,P.154 Mersing,1,Fatin Zulaikha Binti Zaidi,ZULAIKHA ZAIDI,29.0,female,bumiputera,PAKATAN HARAPAN (PH),6813,0,lost,0,PH,46906,14.524794269389844,88.9499406,3.5,12.1,Lost
687,Johor,P.154 Mersing,2,Ismail Bin Don,ISMAIL BIN DON,54.0,male,bumiputera,BEBAS (BEBAS),89,0,lost_deposit,0,Others,46906,0.18974118449665286,88.9499406,3.5,12.1,Lost
688,Johor,P.154 Mersing,3,Muhammad Islahuddin Bin Abas,ISLAHUDDIN ABAS,34.0,male,bumiputera,PERIKATAN NASIONAL (PN),21066,1,won,1,PN,46906,44.91109879333134,88.9499406,3.5,12.1,Won
689,Johor,P.154 Mersing,4,Nurfatimah Binti Ibrahim,NURFATIMAH IBRAHIM,33.0,female,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),209,0,lost_deposit,0,Others,46906,0.4455719950539377,88.9499406,3.5,12.1,Lost
690,Johor,P.154 Mersing,5,Abd Latif Bin Bandi @ Nor Sebandi,ABD LATIF BANDI,56.0,male,bumiputera,BARISAN NASIONAL (BN),18729,0,lost,0,BN,46906,39.92879375772822,88.9499406,3.5,12.1,Lost
691,Johor,P.155 Tenggara,1,Manndzri Bin Nasib,MANNDZRI BIN NASIB,42.0,male,bumiputera,BARISAN NASIONAL (BN),21185,1,won,1,BN,51350,41.25608568646543,79.58246534,3.2,5.1,Won
692,Johor,P.155 Tenggara,2,M Azhar Bin Palal,AZHAR PALAL,,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),353,0,lost_deposit,0,Others,51350,0.6874391431353457,79.58246534,3.2,5.1,Lost
