UNIQUECODE,STATE,PARLIAMENTARYCODE,PARLIAMENTARYNAME,TOTALELECTORS,MALAY,CHINESE,INDIANS,ORANGASLI,BUMIPUTERASABAH,BUMIPUTERASARAWAK,OTHERS,ELECTORSNORMALVOTERS,ELECTORSABSENTVOTERS,ELECTORSPOLICE,ELECTORSMILITARY,Q,R,S,T,U,V,W,X,ABOVE90,MALEELECTORS,WOMENELECTORS,URBANRURALCLASSIFICATION2022,parlimen,v1,state,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,_merge
P.085,PAHANG,P.085,Pekan,119443,84.95999999999999,1.79,.7,.35,.53,9.390000000000001,2.28,94.06999999999999,.01,.36,5.55,7.04,23.93,27.02,17.47,11.48,8.51,3.43,.92,.21,50.77,49.23,Semi Urban,P.085 Pekan,84,Pahang,1,Sh Mohmed Puzi Bin Sh Ali,SH MOHMED PUZI BIN SH ALI,65,male,bumiputera,BARISAN NASIONAL (BN),47418,1,won,1,BN,Matched (3)
P.086,PAHANG,P.086,Maran,53128,89.36,5.8,1.38,.09,.07,2.3,.99,99.58,0,.42,0,6.19,19.63,23.52,19.63,14.62,7.87,6.22,2.08,.25,49.92,50.08,Rural,P.086 Maran,85,Pahang,3,Ismail Bin Abd. Muttalib,DATO SRI DR HJ ISMAIL B HJ ABD MUTTALIB,68,male,bumiputera,PERIKATAN NASIONAL (PN),19600,1,won,0,PN,Matched (3)
P.087,PAHANG,P.087,Kuala Krau,60537,88.7,2.52,2.07,.1,.06,5.96,.59,99.93000000000001,0,.07,0,6.02,19.29,26.39,20.5,11.12,9.09,6.22,1.19,.18,49.45,50.55,Rural,P.087 Kuala Krau,86,Pahang,2,Kamal Bin Ashaari,USTAZ HAJI KAMAL BIN ASHAARI,52,male,bumiputera,PERIKATAN NASIONAL (PN),22505,1,won,1,PN,Matched (3)
P.088,PAHANG,P.088,Temerloh,106829,66.28,21.05,8.119999999999999,.35,.54,1.38,2.29,97.61,.01,.48,1.9,6.72,23.82,24.21,16.12,13.11,9.960000000000001,4.31,1.46,.29,50.18,49.82,Semi Urban,P.088 Temerloh,87,Pahang,2,Salamiah Binti Mohd Nor,HJH SALAMIAH MOHD NOR,58,female,bumiputera,PERIKATAN NASIONAL (PN),30929,1,won,1,PN,Matched (3)
P.089,PAHANG,P.089,Bentong,87058,49.25,37.99,9.09,.16,.17,2.65,.68,98.59999999999999,.01,.35,1.03,5.38,19.05,22.37,17.47,15.19,11.66,6.4,2.16,.32,50.98,49.02,Semi Urban,P.089 Bentong,88,Pahang,2,Young Syefura Binti Othman,YOUNG SYEFURA BINTI OTHMAN,33,female,bumiputera,PAKATAN HARAPAN (PH),25075,1,won,1,PH,Matched (3)
P.090,PAHANG,P.090,Bera,77669,62.04,27.82,3.66,.27,.32,5.18,.71,95.09999999999999,.01,.36,4.53,5.73,20.41,25.92,18.25,12.71,9.59,5.77,1.44,.18,51.26,48.74,Rural,P.090 Bera,89,Pahang,2,Ismail Sabri Bin Yaakob,ISMAIL SABRI BIN YAAKOB,62,male,bumiputera,BARISAN NASIONAL (BN),31762,1,won,0,BN,Matched (3)
P.091,PAHANG,P.091,Rompin,89131,83.29000000000001,2.43,.89,.16,.1,11.87,1.25,99.29000000000001,0,.38,.33,6.51,22.75,28.78,16.66,10.38,10,4.14,.65,.13,49.84,50.16,Rural,P.091 Rompin,90,Pahang,3,Abdul Khalib Bin Abdullah,DATO' KHALIB,63,male,bumiputera,PERIKATAN NASIONAL (PN),31589,1,won,1,PN,Matched (3)
P.092,SELANGOR,P.092,Sabak Bernam,51609,81.31999999999999,13.05,4.88,.1,.09,.01,.5600000000000001,99.89,0,.1,.01,6.01,20.67,23.57,16.59,14.64,10.4,5.89,1.82,.42,49.18,50.82,Rural,P.092 Sabak Bernam,91,Selangor,3,Kalam Bin Salan,CIKGU KALAM BIN SALAN,57,male,bumiputera,PERIKATAN NASIONAL (PN),17973,1,won,1,PN,Matched (3)
P.093,SELANGOR,P.093,Sungai Besar,64382,67.33,29.33,2.1,.21,.09,.01,.93,99.48999999999999,0,.5,0,5.95,22.25,24.14,16.94,14.62,9.42,4.92,1.48,.28,50.51,49.49,Semi Urban,P.093 Sungai Besar,92,Selangor,3,Muslimin Bin Yahaya,CIKGU MUSLIMIN YAHAYA,55,male,bumiputera,PERIKATAN NASIONAL (PN),19791,1,won,0,PN,Matched (3)
P.094,SELANGOR,P.094,Hulu Selangor,154317,62.81,18.14,15.13,.34,.27,1.84,1.47,99.12,.01,.6899999999999999,.18,8.029999999999999,25.48,20.8,15.83,15,9.41,3.89,1.29,.27,49.63,50.37,Semi Urban,P.094 Hulu Selangor,93,Selangor,6,Mohd Hasnizan Bin Harun,HASNIZAN HARUN,52,male,bumiputera,PERIKATAN NASIONAL (PN),46823,1,won,1,PN,Matched (3)
P.095,SELANGOR,P.095,Tanjong Karang,62194,73.15000000000001,17.2,8.23,.1,.05,.01,1.26,99.95,.01,.04,0,6.17,21.19,23.26,17.68,14.65,10.13,5.03,1.51,.37,50.17,49.83,Rural,P.095 Tanjong Karang,94,Selangor,3,Zulkafperi Bin Hanapi,KAPT (B) DATO DR ZULKAFPERI,63,male,bumiputera,PERIKATAN NASIONAL (PN),18054,1,won,1,PN,Matched (3)
P.096,SELANGOR,P.096,Kuala Selangor,102951,66.81,12.06,19.55,.2,.12,.01,1.24,99.61,.01,.38,0,7.99,24.61,21.83,16.74,14.34,9.06,4.03,1.11,.28,49.46,50.54,Semi Urban,P.096 Kuala Selangor,95,Selangor,3,Dzulkefly Bin Ahmad,DS DR DZULKEFLY BIN AHMAD,66,male,bumiputera,PAKATAN HARAPAN (PH),31033,1,won,0,PH,Matched (3)
P.097,SELANGOR,P.097,Selayang,181539,51.59,26.3,17.9,.42,.28,.26,3.24,99.64,.01,.34,.02,8.34,25.33,21.15,16.4,14.39,9.52,3.67,1.02,.19,49.57,50.43,Urban,P.097 Selayang,96,Selangor,5,William Leong Jee Keen,WILLIAM LEONG JEE KEEN,65,male,chinese,PAKATAN HARAPAN (PH),72773,1,won,0,PH,Matched (3)
P.098,SELANGOR,P.098,Gombak,206744,69.94,10.86,10.86,.26,.19,.5,7.39,99.75,.04,.11,.1,6.65,21.78,23,17.5,13.89,11.04,4.93,1.06,.16,49.62,50.38,Urban,P.098 Gombak,97,Selangor,2,Amirudin Bin Shari,AMIRUDIN SHARI,42,male,bumiputera,PAKATAN HARAPAN (PH),72267,1,won,1,PH,Matched (3)
P.099,SELANGOR,P.099,Ampang,133494,51.4,32.44,9.68,.44,.29,.01,5.74,99.73999999999999,.03,.23,0,6.34,21.08,21.35,17.31,15.21,11.8,5.21,1.47,.22,49.29,50.71,Urban,P.099 Ampang,98,Selangor,1,Rodziah Binti Ismail,RODZIAH ISMAIL,58,female,bumiputera,PAKATAN HARAPAN (PH),56754,1,won,1,PH,Matched (3)
P.100,SELANGOR,P.100,Pandan,148730,40.22,46.97,7.95,.76,.34,.02,3.75,99.59,.02,.39,0,5.58,20.17,22.61,18.39,16.04,11.71,4.31,1.06,.12,49.3,50.7,Urban,P.100 Pandan,99,Selangor,1,Mohd Rafizi Bin Ramli,RAFIZI RAMLI,45,male,bumiputera,PAKATAN HARAPAN (PH),74002,1,won,0,PH,Matched (3)
P.101,SELANGOR,P.101,Hulu Langat,166902,63.45,20.97,10.72,.49,.35,.9,3.12,98.14,.02,1.84,0,8.92,25.99,21.37,16.22,13.67,9.23,3.45,.98,.16,50.03,49.97,Urban,P.101 Hulu Langat,100,Selangor,1,Mohd Sany Bin Hamzan,YB MOHD SANY HAMZAN,45,male,bumiputera,PAKATAN HARAPAN (PH),58382,1,won,1,PH,Matched (3)
P.102,SELANGOR,P.102,Bangi,303430,48.43,36.96,11.19,.61,.4,.01,2.39,99.55,.03,.31,.11,8.609999999999999,25.83,21.6,16.64,13.73,9.18,3.47,.83,.11,49.45,50.55,Urban,P.102 Bangi,101,Selangor,7,Syahredzan Bin Johan,SYAHREDZAN BIN JOHAN,39,male,bumiputera,PAKATAN HARAPAN (PH),141568,1,won,1,PH,Matched (3)
P.103,SELANGOR,P.103,Puchong,152861,37.26,49.4,10.95,.71,.35,.18,1.15,99.72,.02,.24,.02,7.7,23.02,19.58,19.4,15.21,9.609999999999999,4.23,1.12,.13,50.06,49.94,Urban,P.103 Puchong,102,Selangor,1,Yeo Bee Yin,YEO BEE YIN,39,female,chinese,PAKATAN HARAPAN (PH),79425,1,won,0,PH,Matched (3)
P.104,SELANGOR,P.104,Subang,230940,26.25,54.04,16.81,.8100000000000001,.49,.01,1.59,99.22,.04,.66,.08,6.61,21.45,20.05,17.62,16.44,12.05,4.52,1.13,.13,49.42,50.58,Urban,P.104 Subang,103,Selangor,3,Wong Chen,WONG CHEN,53,male,chinese,PAKATAN HARAPAN (PH),138259,1,won,0,PH,Matched (3)
P.105,SELANGOR,P.105,Petaling Jaya,195148,46.15,29.56,20.73,.66,.35,.01,2.53,97.77,.02,.44,1.76,5.17,17.62,19.74,17.99,16.19,13.23,6.98,2.47,.6,49.35,50.65,Urban,P.105 Petaling Jaya,104,Selangor,6,Lee Chean Chung,LEE CHEAN CHUNG,41,male,chinese,PAKATAN HARAPAN (PH),83311,1,won,1,PH,Matched (3)
P.106,SELANGOR,P.106,Damansara,239103,20.66,66.14,9.98,.49,.27,.25,2.23,99.77,.02,.2,0,5.55,17.9,18.47,18.5,15.97,13.04,7.64,2.52,.4,48.67,51.33,Urban,P.106 Damansara,105,Selangor,1,Gobind Singh Deo,GOBIND SINGH DEO,49,male,other,PAKATAN HARAPAN (PH),142875,1,won,0,PH,Matched (3)
P.107,SELANGOR,P.107,Sungai Buloh,158090,62.62,20.7,10.44,.78,.48,.07,4.9,98.45999999999999,.03,.34,1.17,9.640000000000001,26.95,21.21,16.95,13.87,7.84,2.75,.65,.12,50.1,49.9,Urban,P.107 Sungai Buloh,106,Selangor,6,Ramanan Ramakrishnan,RAMANAN RAMAKRISHNAN,41,male,indian,PAKATAN HARAPAN (PH),50943,1,won,1,PH,Matched (3)
P.108,SELANGOR,P.108,Shah Alam,165744,73.36,12.67,11.92,.55,.33,.09,1.08,98.90000000000001,.04,1.03,.03,8.119999999999999,23.57,22.03,17.73,13.54,10.33,3.86,.71,.12,49.91,50.09,Urban,P.108 Shah Alam,107,Selangor,1,Azli Bin Yusof,AZLI YUSOF,55,male,bumiputera,PAKATAN HARAPAN (PH),61409,1,won,1,PH,Matched (3)
P.109,SELANGOR,P.109,Kapar,189369,68,15.26,14.21,.51,.17,.06,1.79,99.73,.01,.26,0,8.31,25.57,21.75,17.19,14.18,8.630000000000001,3.43,.79,.15,49.76,50.24,Urban,P.109 Kapar,108,Selangor,4,Halimah Ali,DR HALIMAH ALI,62,female,bumiputera,PERIKATAN NASIONAL (PN),65751,1,won,1,PN,Matched (3)
P.110,SELANGOR,P.110,Klang,208913,26.65,52.77,18.25,.71,.22,.1,1.3,99.38,.02,.46,.15,5.58,18.45,19.19,18.44,16.1,13.16,6.67,1.95,.46,49.86,50.14,Urban,P.110 Klang,109,Selangor,6,Ganabatirau A/L Veraman,GANABATIRAU A/L VERAMAN,49,male,bumiputera,PAKATAN HARAPAN (PH),115539,1,won,1,PH,Matched (3)
P.111,SELANGOR,P.111,Kota Raja,244712,39.81,29.68,27.34,1.33,.34,.02,1.48,99.95999999999999,.02,.02,0,9.09,25.9,21.2,17.86,13.82,8.289999999999999,3.07,.66,.11,49.38,50.62,Urban,P.111 Kota Raja,110,Selangor,5,Mohamad Bin Sabu,MOHD SABU,68,male,bumiputera,PAKATAN HARAPAN (PH),123306,1,won,0,PH,Matched (3)
P.112,SELANGOR,P.112,Kuala Langat,148637,54.86,23.76,17.28,.42,.17,2.02,1.47,99.26000000000001,.01,.25,.48,7.79,23.55,22.61,17.84,13.53,9.289999999999999,3.95,1.18,.25,49.75,50.25,Semi Urban,P.112 Kuala Langat,111,Selangor,4,Ahmad Yunus Bin Hairi,DR AHMAD YUNUS HAIRI,57,male,bumiputera,PERIKATAN NASIONAL (PN),52867,1,won,1,PN,Matched (3)
P.113,SELANGOR,P.113,Sepang,168039,62.92,19.15,13.14,.71,.4,2.12,1.55,98.87,.03,1.1,0,9.109999999999999,25.2,21.37,17.73,13.43,8.35,3.49,1.08,.23,50.24,49.76,Semi Urban,P.113 Sepang,112,Selangor,4,Raj Munni Binti Sabu,AIMAN ATHIRAH,50,female,bumiputera,PAKATAN HARAPAN (PH),56264,1,won,1,PH,Matched (3)
P.114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114,Kepong,94285,5.62,85.51000000000001,7.08,.87,.14,.01,.77,99.69,.01,.3,0,4.14,14.88,16.2,18.22,19.37,15.55,8.539999999999999,2.73,.37,50.24,49.76,Urban,P.114 Kepong,113,W.P. Kuala Lumpur,4,Lim Lip Eng,LIM LIP ENG,50,male,chinese,PAKATAN HARAPAN (PH),64308,1,won,0,PH,Matched (3)
P.115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115,Batu,113863,44.05,34.57,18.18,.6,.46,.04,2.11,97.37,.02,.67,1.95,5.78,20.39,22.93,17.54,14.4,11.78,5.19,1.62,.38,49.81,50.19,Urban,P.115 Batu,114,W.P. Kuala Lumpur,3,Prabakaran A/L M Parameswaran,PRABAKARAN PARAMESWARAN,26,male,indian,PAKATAN HARAPAN (PH),45716,1,won,0,PH,Matched (3)
P.116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116,Wangsa Maju,120323,57.71,28.51,9.109999999999999,.61,.63,.05,3.38,97.65000000000001,.03,.28,2.04,5.14,19.42,24.06,17.75,14.67,12.48,4.96,1.31,.21,49.37,50.63,Urban,P.116 Wangsa Maju,115,W.P. Kuala Lumpur,1,Zahir Bin Hassan,ZAHIR HASSAN,63,male,bumiputera,PAKATAN HARAPAN (PH),46031,1,won,1,PH,Matched (3)
P.117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117,Segambut,119652,26.77,56.76,11.81,.33,.28,.03,4.04,99.73999999999999,.05,.21,0,5.35,18.37,20.7,17.56,15.05,13.46,6.83,2.16,.51,48.72,51.28,Urban,P.117 Segambut,116,W.P. Kuala Lumpur,3,Yeoh Tseow Suan,HANNAH YEOH,43,female,chinese,PAKATAN HARAPAN (PH),68438,1,won,0,PH,Matched (3)
P.118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118,Setiawangsa,95753,60.52,24.51,11.69,.8100000000000001,.97,.05,1.45,87.31,.04,2.87,9.779999999999999,5.28,20.44,25.86,17.5,14.15,11.25,4.18,1.09,.24,51.31,48.69,Urban,P.118 Setiawangsa,117,W.P. Kuala Lumpur,1,Nik Nazmi Bin Nik Ahmad,NIK NAZMI NIK AHMAD,40,male,bumiputera,PAKATAN HARAPAN (PH),34434,1,won,0,PH,Matched (3)
P.119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119,Titiwangsa,80747,66.43000000000001,16.5,9.31,.6899999999999999,.45,.03,6.6,97.37,.02,.37,2.24,4.8,17.44,20.72,17.06,17.07,14.21,6.18,1.9,.63,49.84,50.16,Urban,P.119 Titiwangsa,118,W.P. Kuala Lumpur,4,Johari Bin Abdul Ghani,DATUK SERI JOHARI GHANI,58,male,bumiputera,BARISAN NASIONAL (BN),25042,1,won,0,BN,Matched (3)
P.120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120,Bukit Bintang,79782,13.05,71.59999999999999,12.41,.91,.4,.02,1.62,96.73999999999999,.01,3.25,0,2.59,9.66,13.02,15.66,19.47,21.01,12.27,4.54,1.78,52.32,47.68,Urban,P.120 Bukit Bintang,119,W.P. Kuala Lumpur,2,Fong Kui Lun,FONG KUI LUN,76,male,chinese,PAKATAN HARAPAN (PH),43827,1,won,0,PH,Matched (3)
P.121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121,Lembah Pantai,101828,59.09,19.14,17.18,1,.63,.04,2.92,90.38,.02,9.550000000000001,.05,4.01,15.82,22.46,18.94,16.57,13.35,6.36,2.04,.46,52.14,47.86,Urban,P.121 Lembah Pantai,120,W.P. Kuala Lumpur,3,Ahmad Fahmi Bin Mohamed Fadzil,FAHMI FADZIL,41,male,bumiputera,PAKATAN HARAPAN (PH),35359,1,won,0,PH,Matched (3)
P.122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122,Seputeh,124805,12.06,76.78,8.960000000000001,.52,.22,.01,1.43,99.65000000000001,.02,.32,0,5.01,16.97,17.92,18.61,16.84,13.5,7.91,2.77,.48,48.72,51.28,Urban,P.122 Seputeh,121,W.P. Kuala Lumpur,4,Teresa Kok Suh Sim,TERESA KOK,58,female,chinese,PAKATAN HARAPAN (PH),73234,1,won,0,PH,Matched (3)
P.123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123,Cheras,101184,13.44,77.09,7.77,.5600000000000001,.23,.01,.9,98.86,.01,1.13,0,3.79,13.75,16.21,17.88,18.45,17.08,9.07,3.14,.64,49.74,50.26,Urban,P.123 Cheras,122,W.P. Kuala Lumpur,1,Tan Kok Wai,TAN KOK WAI,65,male,chinese,PAKATAN HARAPAN (PH),60294,1,won,0,PH,Matched (3)
P.124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124,Bandar Tun Razak,119185,61.99,26.94,8.77,.7,.6,.02,.98,95.78,.02,.17,4.04,6.38,21.36,22.73,18.34,14.92,10.42,4.56,1.16,.14,49.86,50.14,Urban,P.124 Bandar Tun Razak,123,W.P. Kuala Lumpur,1,Wan Azizah Binti Wan Ismail,DATO' SERI DR WAN AZIZAH BINTI WAN ISMAIL,70,female,bumiputera,PAKATAN HARAPAN (PH),43476,1,won,0,PH,Matched (3)
P.125,WILAYAH PERSEKUTUAN PUTRAJAYA,P.125,Putrajaya,42881,93.84999999999999,.89,2.78,1.21,.51,.06,.6899999999999999,96.61,.16,1.74,1.49,8.33,21,29.66,21.89,10.22,7.43,1.32,.13,0,49.44,50.56,Urban,P.125 Putrajaya,124,W.P. Putrajaya,5,Mohd Radzi Bin Md Jidin,DR. RADZI JIDIN (DRJ),45,male,bumiputera,PERIKATAN NASIONAL (PN),16002,1,won,1,PN,Matched (3)
P.126,NEGERI SEMBILAN,P.126,Jelebu,59561,65.12,23.33,5.49,.15,.09,5.22,.6,98.75,.01,1.24,0,4.74,16.93,23.81,19.27,13.04,12.48,7.15,2.18,.39,50.51,49.49,Rural,P.126 Jelebu,125,Negeri Sembilan,2,Jalaluddin Bin Alias,JALALUDDIN BIN ALIAS,59,male,bumiputera,BARISAN NASIONAL (BN),21805,1,won,0,BN,Matched (3)
P.127,NEGERI SEMBILAN,P.127,Jempol,95813,63.63,22.01,12.74,.1,.08,.89,.55,99.59,0,.41,0,5.02,19.37,27.28,16.27,11.28,13.38,5.81,1.37,.22,49.01,50.99,Semi Urban,P.127 Jempol,126,Negeri Sembilan,3,Shamshulkahar Bin Mohd Deli,DATO' HAJI SHAMSHULKAHAR BIN HAJI MOHD DELI,61,male,bumiputera,BARISAN NASIONAL (BN),30138,1,won,1,BN,Matched (3)
P.128,NEGERI SEMBILAN,P.128,Seremban,157244,51.29,31.9,13.93,.38,.26,.8,1.45,98.97,.03,.98,.02,6.67,21.15,20.66,16.84,14.57,11.89,5.76,2.01,.45,49.62,50.38,Urban,P.128 Seremban,127,Negeri Sembilan,1,Loke Siew Fook,LOKE SIEW FOOK,45,male,chinese,PAKATAN HARAPAN (PH),63916,1,won,0,PH,Matched (3)
P.129,NEGERI SEMBILAN,P.129,Kuala Pilah,63247,76.03,15.68,5.25,.12,.12,2.18,.61,99.41,.02,.57,0,5.06,18.17,20.86,16.85,15.23,13.36,6.48,3.32,.68,49.41,50.59,Rural,P.129 Kuala Pilah,128,Negeri Sembilan,5,Adnan Bin Abu Hassan,DATO' HJ ADNAN HJ ABU HASSAN,52,male,bumiputera,BARISAN NASIONAL (BN),21423,1,won,1,BN,Matched (3)
P.130,NEGERI SEMBILAN,P.130,Rasah,155896,32.57,42.64,22.38,.36,.32,.39,1.34,98.48,.02,.46,1.04,7.01,22.13,20.39,16.85,14.3,11.33,5.6,1.94,.45,49.37,50.63,Urban,P.130 Rasah,129,Negeri Sembilan,3,Cha Kee Chin,CHA KEE CHIN,48,male,chinese,PAKATAN HARAPAN (PH),81434,1,won,0,PH,Matched (3)
P.131,NEGERI SEMBILAN,P.131,Rembau,133555,73.48999999999999,8.859999999999999,15.94,.25,.21,.41,.84,98.31999999999999,.02,.38,1.28,7.51,24.12,21.87,16.09,13.92,10.49,4.21,1.46,.32,49.15,50.85,Semi Urban,P.131 Rembau,130,Negeri Sembilan,2,Mohamad Bin Haji Hasan,TOK MAT,66,male,bumiputera,BARISAN NASIONAL (BN),53075,1,won,1,BN,Matched (3)
P.132,NEGERI SEMBILAN,P.132,Port Dickson,104450,43.6,31.87,21.41,.83,.9399999999999999,.3,1.05,92.92,.01,.5,6.57,6.6,21.37,22.39,17.13,14.09,10.95,5.35,1.75,.38,51.12,48.88,Semi Urban,P.132 Port Dickson,131,Negeri Sembilan,5,Aminuddin Bin Harun,DATO' SERI AMINUDDIN BIN HARUN,55,male,bumiputera,PAKATAN HARAPAN (PH),42013,1,won,1,PH,Matched (3)
P.133,NEGERI SEMBILAN,P.133,Tampin,81099,61.93,23.66,12.28,.48,.85,.17,.63,93.56,0,.48,5.95,5,20.63,25.47,17.55,12.43,11.3,5.44,1.89,.29,50.56,49.44,Semi Urban,P.133 Tampin,132,Negeri Sembilan,1,Mohd Isam Bin Mohd Isa,MOHD ISAM BIN MOHD ISA,53,male,bumiputera,BARISAN NASIONAL (BN),23283,1,won,1,BN,Matched (3)
P.134,MELAKA,P.134,Masjid Tanah,69174,81.95,11.74,3.64,.23,.18,.43,1.82,99.52,.01,.13,.34,6.27,22.33,21.88,16.32,14.39,10.87,5.59,2,.35,48.69,51.31,Semi Urban,P.134 Masjid Tanah,133,Melaka,2,Mas Ermieyati Binti Samsudin,MAS ERMIEYATI,46,female,bumiputera,PERIKATAN NASIONAL (PN),25604,1,won,0,PN,Matched (3)
P.135,MELAKA,P.135,Alor Gajah,93311,61.39,23.78,13.07,.17,.15,.74,.7,99.40000000000001,0,.57,.02,6.34,20.98,21.65,16.95,14.36,11.31,5.86,2.17,.39,49.22,50.78,Semi Urban,P.135 Alor Gajah,134,Melaka,2,Adly Bin Zahari,ADLY ZAHARI,51,male,bumiputera,PAKATAN HARAPAN (PH),28178,1,won,1,PH,Matched (3)
P.136,MELAKA,P.136,Tangga Batu,115998,69.28,22.29,3.65,1.45,1.57,.06,1.7,91.69,.01,.04,8.25,7.27,24.87,24.14,17.08,12.4,8.789999999999999,4.05,1.22,.19,51.28,48.72,Urban,P.136 Tangga Batu,135,Melaka,3,Bakri Bin Jamaluddin,BAKRI JAMALUDDIN,57,male,bumiputera,PERIKATAN NASIONAL (PN),37406,1,won,1,PN,Matched (3)
P.137,MELAKA,P.137,Hang Tuah Jaya,118493,61.73,30.62,6.04,.31,.2,.01,1.09,98.97,.01,.79,.23,6.4,21.78,22.62,16.83,13.93,11.26,5.34,1.59,.24,49.02,50.98,Urban,P.137 Hang Tuah Jaya,136,Melaka,1,Adam Adli Bin Abd Halim,ADAM ADLI,33,male,bumiputera,PAKATAN HARAPAN (PH),39418,1,won,1,PH,Matched (3)
P.138,MELAKA,P.138,Kota Melaka,164140,38.98,54.17,4.46,.24,.18,.01,1.96,99.56999999999999,.02,.41,0,5.43,18.77,19.92,17.14,15.12,13.27,7.29,2.54,.52,48.65,51.35,Urban,P.138 Kota Melaka,137,Melaka,1,Khoo Poay Tiong,KHOO POAY TIONG,51,male,chinese,PAKATAN HARAPAN (PH),73995,1,won,0,PH,Matched (3)
P.139,MELAKA,P.139,Jasin,96208,73.29000000000001,15.5,10.12,.09,.09,.14,.77,99.76000000000001,.01,.24,0,6.41,22.08,21.49,16.96,14.71,10.77,5.3,1.98,.31,48.77,51.23,Semi Urban,P.139 Jasin,138,Melaka,4,Zulkifli Bin Ismail,TUAN GURU ZULKIFLI ISMAIL,56,male,bumiputera,PERIKATAN NASIONAL (PN),27893,1,won,1,PN,Matched (3)
P.140,JOHOR,P.140,Segamat,69360,46.7,42.64,9.32,.19,.21,.17,.79,98.70999999999999,.01,.84,.44,4.81,18.67,22.51,16.1,14.6,13.89,6.56,2.38,.49,50.27,49.73,Semi Urban,P.140 Segamat,139,Johor,3,Yuneswaran A/L Ramaraj,R. YUNESWARAN,36,male,indian,PAKATAN HARAPAN (PH),23437,1,won,1,PH,Matched (3)
P.141,JOHOR,P.141,Sekijang,63981,57.76,36.58,4.07,.08,.09,.31,1.11,100,0,0,0,5.97,21.03,23.2,17.68,12.97,11.26,5.9,1.77,.23,49.44,50.56,Semi Urban,P.141 Sekijang,140,Johor,4,Zaliha Binti Mustafa,DR. ZALIHA MUSTAFA,58,female,bumiputera,PAKATAN HARAPAN (PH),18941,1,won,1,PH,Matched (3)
P.142,JOHOR,P.142,Labis,49846,37.55,43.75,15.36,.14,.06,2.31,.84,99.91,.01,.08,0,4.79,17.92,20.68,17.88,15.97,12.57,7.01,2.63,.55,50.26,49.74,Semi Urban,P.142 Labis,141,Johor,2,Pang Hok Liong,PANG HOK LIONG,65,male,chinese,PAKATAN HARAPAN (PH),16133,1,won,0,PH,Matched (3)
P.143,JOHOR,P.143,Pagoh,69939,66.08,29.25,3.42,.09,.06,.57,.53,99.84999999999999,0,.15,0,5.75,20.76,22.15,16.53,14.53,11.8,5.3,2.68,.51,49.79,50.21,Rural,P.143 Pagoh,142,Johor,2,Mahiaddin Bin Md Yasin,TAN SRI MUHYIDDIN BIN MD YASIN,75,male,bumiputera,PERIKATAN NASIONAL (PN),24986,1,won,0,PN,Matched (3)
P.144,JOHOR,P.144,Ledang,104577,55.29,38.55,4.89,.1,.06,.44,.66,99.65000000000001,.01,.34,0,6.17,21.13,21.2,16.64,14.86,11.3,5.87,2.42,.4,49.38,50.62,Semi Urban,P.144 Ledang,143,Johor,1,Syed Ibrahim Bin Syed Noh,SYED IBRAHIM SYED NOH,58,male,bumiputera,PAKATAN HARAPAN (PH),33650,1,won,0,PH,Matched (3)
P.145,JOHOR,P.145,Bakri,97335,45.39,51.62,2.12,.15,.13,.01,.58,99.05,.01,.9399999999999999,0,5.31,19.44,20.77,17.38,15.11,12.48,6.54,2.5,.46,49.4,50.6,Urban,P.145 Bakri,144,Johor,3,Tan Hong Pin,TAN HONG PIN,41,male,chinese,PAKATAN HARAPAN (PH),36636,1,won,1,PH,Matched (3)
P.146,JOHOR,P.146,Muar,68925,66.34999999999999,31.25,1.34,.16,.1,.1,.71,99.17,.01,.82,0,5.86,20.94,21.59,16.91,14.28,11.43,5.95,2.46,.59,49.58,50.42,Semi Urban,P.146 Muar,145,Johor,3,Syed Saddiq Bin Syed Abdul Rahman,SYED SADDIQ,29,male,bumiputera,IKATAN DEMOKRATIK MALAYSIA (MUDA),19961,1,won,0,Others,Matched (3)
P.147,JOHOR,P.147,Parit Sulong,79484,80.20999999999999,18.07,.47,.06,.07,.33,.8,99.94,.01,.05,0,5.87,20.39,19.96,16.21,15.98,12.14,6.24,2.67,.54,49.1,50.9,Rural,P.147 Parit Sulong,146,Johor,1,Noraini Binti Ahmad,NORAINI AHMAD,55,female,bumiputera,BARISAN NASIONAL (BN),25740,1,won,0,BN,Matched (3)
P.148,JOHOR,P.148,Ayer Hitam,61041,57.61,37.09,4.14,.08,.06,.04,.97,99.91,.01,.08,0,6.3,21.13,20.91,17.12,15.47,11.09,5.48,2.14,.34,49.89,50.11,Semi Urban,P.148 Ayer Hitam,147,Johor,1,Wee Ka Siong,WEE KA SIONG,54,male,chinese,BARISAN NASIONAL (BN),18911,1,won,0,BN,Matched (3)
