,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other
39,Terengganu,P.040 Kemaman,2,Che Alias Bin Hamid,USTAZ CHE ALIAS HAMID,51,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),65714,1,won,1,PN,95.72013773,3.765049392,0.359696683,0.155116193
40,Pulau Pinang,P.041 Kepala Batas,2,Siti Mastura Binti Muhammad,DR USTAZAH MASTURA,33,female,bumiputera,PERIKATAN NASIONAL (PN),28604,1,won,1,PN,87.17764088,8.990052538,3.622512023,0.209794561
41,Pulau Pinang,P.042 Tasek Gelugor,5,Wan Saifulruddin Bin Wan Jan,DATUK WAN SAIFUL WAN JAN,47,male,bumiputera,PERIKATAN NASIONAL (PN),31116,1,won,1,PN,78.19072981,16.63193238,4.878237042,0.299100768
42,Pulau Pinang,P.043 Bagan,2,Lim Guan Eng,LIM GUAN ENG,61,male,chinese,PAKATAN HARAPAN (PH),55797,1,won,0,PH,21.6346477,65.47615619,12.40051077,0.48868535
43,Pulau Pinang,P.044 Permatang Pauh,2,Muhammad Fawwaz Bin Mohamad Jan,UST FAWWAZ MD JAN,39,male,bumiputera,PERIKATAN NASIONAL (PN),37638,1,won,1,PN,78.4329123,15.55707878,5.575446209,0.434562709
44,Pulau Pinang,P.045 Bukit Mertajam,1,Sim Chee Keong,STEVEN SIM CHEE KEONG,40,male,chinese,PAKATAN HARAPAN (PH),71722,1,won,0,PH,27.8717288,61.29333005,10.44777086,0.38717029
45,Pulau Pinang,P.046 Batu Kawan,2,Chow Kon Yeow,CHOW KON YEOW,64,male,chinese,PAKATAN HARAPAN (PH),50744,1,won,0,PH,34.18714963,45.68034811,19.18460151,0.947900741
46,Pulau Pinang,P.047 Nibong Tebal,1,Fadhlina Binti Sidek,FADHLINA BINTI SIDEK,45,female,bumiputera,PAKATAN HARAPAN (PH),42188,1,won,1,PH,50.43353202,33.0116135,16.33206142,0.22279306
47,Pulau Pinang,P.048 Bukit Bendera,1,Syerleena Binti Abdul Rashid,SYERLEENA ABDUL RASHID,42,female,bumiputera,PAKATAN HARAPAN (PH),49353,1,won,1,PH,17.88085502,70.00610206,10.4946311,1.618411825
48,Pulau Pinang,P.049 Tanjong,1,Lim Hui Ying,LIM HUI YING,59,female,chinese,PAKATAN HARAPAN (PH),31968,1,won,1,PH,16.92688874,70.99539859,11.4051992,0.67251347
49,Pulau Pinang,P.050 Jelutong,1,Sanisvara Nethaji Rayer A/L Rajaji,SANISVARA NETHAJI RAYER (RSN RAYER),51,male,indian,PAKATAN HARAPAN (PH),50369,1,won,0,PH,26.72895828,62.42369888,10.12436969,0.722973158
50,Pulau Pinang,P.051 Bukit Gelugor,2,Ramkarpal Singh A/L Karpal Singh,RAMKARPAL SINGH,46,male,other,PAKATAN HARAPAN (PH),71204,1,won,0,PH,22.4760379,66.78783526,9.891997901,0.84412894
51,Pulau Pinang,P.052 Bayan Baru,5,Sim Tze Tzin,SIM TZE TZIN,46,male,chinese,PAKATAN HARAPAN (PH),55209,1,won,0,PH,42.35154918,47.51760298,9.235328918,0.895518925
